Ligand	Receptor	interaction.type	sourcedb	host.organism
HRAS	NRG2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
HRAS	CAMK2D	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
UTS2B	AGTR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
HRAS	EREG	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
UTS2B	FPR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
UTS2B	GPRC6A	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
UTS2B	NMBR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
RAET1G	ULBP1	-	MI:0468(hprd)	-
FAS	EGFR	-	MI:0468(hprd)	-
TYROBP	TREM2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TYROBP	NCR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
UTS2B	GNA11	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
HRAS	NCAM1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
UGGT1	TNFRSF14	MI:0915(physical association)	MI:0469(intact)	taxid:9606(Homo sapiens)
PTHLH	PTH1R	-	MI:0468(hprd)	-
CXCL11	CXCR3	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
NTN1	NEO1	MI:0915(physical association)	MI:0465(dip)	-
CXCL11	CXCR3	MI:0915(physical association)	MI:0465(dip)	-
CXCL11	CCR3	MI:0915(physical association)	MI:0465(dip)	-
CXCL11	CXCR3	-	MI:0468(hprd)	-
CXCL11	CCR3	-	MI:0468(hprd)	-
NTN1	NEO1	-	MI:0468(hprd)	-
HBEGF	KRAS	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
HBEGF	NRG2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXCL11	CCR3	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
NTN1	UNC5B	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
NTN1	NEO1	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
CXCL11	CCR8	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXCL11	SSTR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXCL11	RXFP3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXCL11	P2RY12	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXCL11	CCR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXCL11	TAS2R10	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXCL11	OXER1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXCL11	APP	psi-mi:MI:0914(association)	MI:0467(reactome)	-
CXCL11	CXCR3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXCL11	TAS2R60	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXCL11	CCR3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NTN1	NEO1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXCL11	CCR5	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXCL11	SSTR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXCL11	OPRK1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXCL11	LPAR3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXCL11	CCR4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
FCN1	PTPRG	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
VEGFA	FLT1	psi-mi:MI:0915(physical association)	MI:1332(bhf-ucl)	-
VEGFA	FLT1	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
VEGFA	FLT1	psi-mi:MI:0407(direct interaction)	MI:0917(matrixdb)	-
SCGB3A1	NOTCH3	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
IL32	PRKCD	MI:0403(colocalization)	MI:0469(intact)	taxid:9606(Homo sapiens)
CNTN2	CNTNAP2	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CGA	PTN	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
IL32	PRKCD	MI:0915(physical association)	MI:0469(intact)	taxid:9606(Homo sapiens)
CALR	ATP5B	MI:0403(colocalization)	MI:0463(biogrid)	taxid:32644(unidentified)
VCP	PTPRO	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
VCP	TMPRSS13	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CNTN2	EGFR	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
NGF	SORT1	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
GRP	CCKAR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
IL32	PRKCD	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
IL32	PRKCD	psi-mi:MI:0403(colocalization)	MI:0917(matrixdb)	-
CNTN2	CNTNAP2	-	MI:0468(hprd)	-
TIMP2	RAB3A	MI:0915(physical association)	MI:0469(intact)	taxid:9606(Homo sapiens)
BGN	GPC5	psi-mi:MI:0914(association)	MI:0467(reactome)	-
CNTN2	EGFR	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
VCP	IL7R	psi-mi:MI:0915(physical association)	MI:0974(innatedb)	-
VCP	MCC	MI:0915(physical association)	MI:0469(intact)	taxid:9606(Homo sapiens)
FGFR2	SHC1	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
FGFR2	FRS3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
IAPP	GIPR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
VCP	IL7R	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
VCP	MCC	psi-mi:MI:0915(physical association)	MI:0000(virushost)	-
C1QBP	ADRB2	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
ADIPOQ	ADIPOR2	-	MI:0468(hprd)	-
IAPP	GPBAR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
IAPP	PTH1R	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TIMP2	RAB3A	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
MSTN	ACVR1B	psi-mi:MI:0914(association)	MI:0000(quickgo)	-
IAPP	HTR6	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
IAPP	CALCRL	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
IAPP	ADRB1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
IAPP	ADCY9	psi-mi:MI:0914(association)	MI:0467(reactome)	-
PPBP	CASR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PLG	PLAUR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TIMP2	RAB3A	psi-mi:MI:0915(physical association)	MI:0000(virushost)	-
IFI30	TJP1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
IL18	IL1RL2	-	MI:0468(hprd)	-
EFEMP1	CACNA1A	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
GPC6	LRP8	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
ZG16B	CHRNB3	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
LEPR	LEPR	MI:0914(association)	MI:0000(corum)	taxid:9606(Homo sapiens)
LEPR	LEPR	MI:0915(physical association)	MI:0465(dip)	-
NECTIN1	NECTIN1	MI:0407(direct interaction)	MI:0465(dip)	-
NECTIN1	NECTIN1	MI:0407(direct interaction)	MI:0469(intact)	taxid:9606(Homo sapiens)
PPBP	NPY5R	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PPBP	S1PR4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
IFNA6	IFNAR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
FAM19A4	ITPR2	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
DCN	SDC3	psi-mi:MI:0914(association)	MI:0467(reactome)	-
RTN4	CDH1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
RTN4	GPR161	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
COL4A2	APP	-	MI:0468(hprd)	-
CTSV	HLA-DOB	psi-mi:MI:0914(association)	MI:0467(reactome)	-
CTSV	HLA-DOA	psi-mi:MI:0914(association)	MI:0467(reactome)	-
FAS	FAS	MI:0915(physical association)	MI:0465(dip)	-
SCGB1D1	PLXNA2	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
FGFR2	FGFR3	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
FGFR2	LYN	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
IGF1	SHC1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CHSY1	HLA-DPA1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
COL14A1	CD44	-	MI:0468(hprd)	-
LGALS3BP	PRSS21	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
FGFR3	GRB2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PGLYRP3	MICA	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
LGALS3BP	TRIM27	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
EREG	ERBB4	-	MI:0468(hprd)	-
SST	SSTR3	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
DEFB4A	TLR4	-	MI:0468(hprd)	-
GPC3	LRP8	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
EFNA3	EPHA4	-	MI:0462(bind)	-
LGALS3BP	ITGB1	-	MI:0468(hprd)	-
LAD1	COL17A1	-	MI:0468(hprd)	-
LGALS3BP	CUL5	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
DCN	PLA2G2A	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
LGALS3BP	CD14	-	MI:0468(hprd)	-
CCL28	FPR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
APOB	LDLR	psi-mi:MI:0407(direct interaction)	MI:0917(matrixdb)	-
CCL28	CNR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
FSHB	DRD5	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
FSHB	ADCY7	psi-mi:MI:0914(association)	MI:0467(reactome)	-
INSL3	GNAS	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
INSL3	TSHR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
INSL3	AVPR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
INSL3	ADCYAP1R1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
INSL3	GLP1R	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
INSL3	PTGIR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
FSHB	VIPR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
FSHB	RXFP1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
FSHB	GNAS	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
INSL3	HTR7	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
EFNA4	EPHA7	psi-mi:MI:0407(direct interaction)	MI:0917(matrixdb)	-
AGR2	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
AGR2	DAG1	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
AGR2	LYPD3	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
AGR2	DAG1	psi-mi:MI:0914(association)	MI:0000(quickgo)	-
SST	SSTR3	-	MI:0468(hprd)	-
GNAS	IQGAP1	psi-mi:MI:0914(association)	MI:0467(reactome)	-
GNAS	PTGIR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GNAS	GNG4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PTMA	PHB2	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
PTMA	PHB2	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
ADCK1	STOML2	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
IFNA2	IFNAR1	MI:0915(physical association)	MI:0465(dip)	-
CGA	FSHR	-	MI:0000(bind_translation)	-
EREG	ERBB4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CGA	FSHR	-	MI:0462(bind)	-
LTA	TNFRSF1B	MI:0407(direct interaction)	MI:0465(dip)	-
GHRH	PTH2R	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
C1QBP	TNFRSF1B	MI:0915(physical association)	MI:0469(intact)	taxid:9606(Homo sapiens)
GHRH	DRD5	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GHRH	PTH1R	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GHRH	GNAS	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXCL6	FPR3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
LAMB1	ACHE	-	MI:0468(hprd)	-
CCL20	DRD3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GRP	PTGFR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NCAM1	GFRA1	-	MI:0468(hprd)	-
CCL20	TAS2R1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL20	S1PR5	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TAC1	HTR2A	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TAC1	GRM7	psi-mi:MI:0914(association)	MI:0467(reactome)	-
TAC1	LTB4R2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TAC1	HRH1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TAC1	GRM6	psi-mi:MI:0914(association)	MI:0467(reactome)	-
TAC1	LPAR5	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
APOB	LPL	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
APOB	LDLR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
APOB	SDC3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
APOB	FGR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NMB	GRM8	psi-mi:MI:0914(association)	MI:0467(reactome)	-
CFC1	ACVR2B	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NMB	GRM7	psi-mi:MI:0914(association)	MI:0467(reactome)	-
NMB	HRH1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NMB	FFAR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NMB	P2RY6	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NMB	NTSR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NMB	PTAFR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NMB	APP	psi-mi:MI:0914(association)	MI:0467(reactome)	-
CFC1	ACVR1C	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NMB	CCKBR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
COL4A2	ITGB3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CGA	LHCGR	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CCL20	GALR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL20	GNA13	psi-mi:MI:0914(association)	MI:0467(reactome)	-
IFNA2	IFNAR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
FGF17	FGFR2	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
CGB3	LHCGR	-	MI:0468(hprd)	-
BTC	NRG2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TAC1	OXTR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
FGF17	GRB2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CGA	LHCGR	-	MI:0468(hprd)	-
CGA	PTN	-	MI:0468(hprd)	-
NRG1	HBEGF	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL21	NPY2R	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
APLN	S1PR4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
EDN2	LPAR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
SIGLEC10	ESR1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
EDN2	CASR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
EDN2	AGTR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GRP	NMUR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
EDN2	CYSLTR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
DKK1	KREMEN1	MI:0915(physical association)	MI:0465(dip)	-
EDN2	CYSLTR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
ANXA2	CD4	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
EGF	ERBB3	-	MI:0468(hprd)	-
EMCN	SELL	-	MI:0468(hprd)	-
DKK1	KREMEN1	MI:0915(physical association)	MI:0469(intact)	taxid:9606(Homo sapiens)
IDE	IDE	psi-mi:MI:0914(association)	MI:0000(quickgo)	-
FAS	TNFRSF10B	MI:0914(association)	MI:0463(biogrid)	taxid:32644(unidentified)
EDN2	F2RL1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
EGF	HDAC6	MI:0403(colocalization)	MI:0469(intact)	taxid:9606(Homo sapiens)
GRP	NMBR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GRP	GRM2	psi-mi:MI:0914(association)	MI:0467(reactome)	-
DKK1	KREMEN1	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
EGF	HDAC6	psi-mi:MI:0403(colocalization)	MI:0917(matrixdb)	-
DKK1	KREMEN1	psi-mi:MI:0914(association)	MI:0000(quickgo)	-
EDN2	F2RL3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
EDN2	NPSR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
EDN2	TBXA2R	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
EDN2	FFAR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
EDN2	UTS2R	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
EDN2	GPR132	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
EGF	ERBB3	psi-mi:MI:0914(association)	MI:0467(reactome)	-
EGF	NRG2	psi-mi:MI:0914(association)	MI:0467(reactome)	-
EGF	AP2A2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
COL4A1	DDR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TNFRSF1A	FYN	MI:0403(colocalization)	MI:0463(biogrid)	taxid:32644(unidentified)
TNFRSF1A	SRC	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
TNFRSF1A	SRC	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
TNFRSF1A	SYK	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
TNFRSF1A	TNFRSF10B	MI:0914(association)	MI:0463(biogrid)	taxid:32644(unidentified)
TNFRSF1A	TRPC5	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
GRP	GRM4	psi-mi:MI:0914(association)	MI:0467(reactome)	-
EDN2	PTGFR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
EDN2	P2RY2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NRG4	NRG2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
LAMB1	DAG1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
LAMB1	L1CAM	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CALCB	ADCY3	psi-mi:MI:0914(association)	MI:0467(reactome)	-
APOB	P2RY12	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
TNFRSF1A	SLC1A5	MI:0915(physical association)	MI:0469(intact)	taxid:9606(Homo sapiens)
EDN3	GPR4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
EDN3	NMBR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
EDN3	GNA11	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
EDN3	CCKBR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TNFRSF1A	SLC1A5	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
EPHA3	EPHA3	-	MI:0468(hprd)	-
CGA	PTN	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
TAC1	GPR17	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CGA	PTH1R	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CGA	LHCGR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PLAT	LRP1	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
PLAT	ANXA2	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
SPARC	VCAM1	psi-mi:MI:0407(direct interaction)	MI:0917(matrixdb)	-
PLAT	SERPINE1	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
CCL21	CXCL16	psi-mi:MI:0914(association)	MI:0467(reactome)	-
CALR	LPL	-	MI:0468(hprd)	-
C1QBP	TNFRSF1B	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
CSF2	IL3RA	-	MI:0468(hprd)	-
CCL5	PIGR	-	MI:0468(hprd)	-
EFNA4	EPHA7	-	MI:0000(bind_translation)	-
CCL5	PIGR	psi-mi:MI:0915(physical association)	MI:0974(innatedb)	-
GPC3	CSPG5	psi-mi:MI:0914(association)	MI:0467(reactome)	-
ELANE	LRP1	-	MI:0462(bind)	-
LGALS3	NCSTN	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CCL5	PIGR	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
CCL5	CCR8	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
HEBP1	HCAR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
HEBP1	MTNR1A	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL5	CASR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
HEBP1	GPR18	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
HEBP1	HTR1B	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
HEBP1	CXCR3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
HEBP1	S1PR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
HEBP1	P2RY12	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
HEBP1	ADRA2B	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
HEBP1	GRM7	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
HEBP1	ADCY3	psi-mi:MI:0914(association)	MI:0467(reactome)	-
HEBP1	ADRA2A	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL5	SSTR3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
HEBP1	APLNR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL5	DRD3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
HEBP1	GNA13	psi-mi:MI:0914(association)	MI:0467(reactome)	-
HEBP1	GABBR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL5	TAS2R10	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL5	S1PR5	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL5	RXFP4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL5	S1PR4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
DCN	PLA2G2A	-	MI:0468(hprd)	-
EFNA4	EPHA6	-	MI:0000(bind_translation)	-
HEBP1	NPY2R	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL5	DRD4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
HEBP1	GNG2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CLCA1	ITGB4	-	MI:0468(hprd)	-
GPC5	APOE	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NMU	SNTA1	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
TAC1	DPP4	psi-mi:MI:0194(cleavage reaction)	MI:0917(matrixdb)	-
LAMA4	PTN	psi-mi:MI:0915(physical association)	MI:0000(virushost)	-
PPY	ACKR3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
LY96	TLR4	-	MI:0468(hprd)	-
NMU	SNTA1	psi-mi:MI:0915(physical association)	MI:0974(innatedb)	-
RIMS1	SLC17A7	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GHR	IRS1	-	MI:0468(hprd)	-
LAMA4	PTN	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
ANXA2	IQGAP1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
PLAT	SERPINE1	MI:0407(direct interaction)	MI:0000(intcomplex)	taxid:9606(Homo sapiens)
PLAT	SERPINE1	psi-mi:MI:0407(direct interaction)	MI:0917(matrixdb)	-
LAMA4	PTN	-	MI:0468(hprd)	-
NMU	SNTA1	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
PLAT	SERPINE1	psi-mi:MI:0914(association)	MI:0000(quickgo)	-
NMU	AGTR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NMU	DRD2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NMU	HRH3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NMU	HTR1F	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NMU	TAS2R10	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NMU	PTGER3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NMU	P2RY6	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NMU	P2RY13	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NMU	TACR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NMU	OXER1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NMU	GPR65	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NMU	TAS2R1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NMU	TAS2R19	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NMU	TAS2R31	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NMU	KISS1R	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NMU	NPSR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NMU	ADRA2B	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
